height_range_id,dia_avg,dia_med,dia_sdeviation,dia_range
0,5.407009345794393,3,8.110499913961675,0
0,5.407009345794393,3,8.110499913961675,55
1,3.917364298405866,3,2.2793724039044534,0
1,3.917364298405866,3,2.2793724039044534,86
2,8.37634317395631,7,5.987272774837442,0
2,8.37634317395631,7,5.987272774837442,435
3,14.641436119663968,13,7.601208393849925,0
3,14.641436119663968,13,7.601208393849925,141
4,16.5627072576717,15.5,7.034131148874286,1
4,16.5627072576717,15.5,7.034131148874286,317
5,22.824920124251165,22.5,7.163669746694646,1
5,22.824920124251165,22.5,7.163669746694646,99
6,27.26864292589028,27,7.111473466028949,0
6,27.26864292589028,27,7.111473466028949,99
7,30.77524943820225,30,7.458008583752405,2.5
7,30.77524943820225,30,7.458008583752405,75
8,33.25081769436997,33,8.27335008399606,3
8,33.25081769436997,33,8.27335008399606,99
9,34.789408866995075,35,9.691060678510606,2
9,34.789408866995075,35,9.691060678510606,67
10,34.145833333333336,39,15.27492684602827,3
10,34.145833333333336,39,15.27492684602827,50
